Facility_uid,Facility Code:,State Unique ID:,Registration No:,Facility Name:,Alternate Name:,Start Date:,Ownership:,Ownership Type:,Facility Level:,Facility Level Option:,Days of Operation:,Hours of Operation:,State:,LGA:,Ward:, Physical Location:,Postal Address:,Longitude:,Latitude:,Phone Number:,Alternate Number:,Email Address:,Website:,Operational Status:,Registration Status:,License Status:,Out Patient Services:,In Patient Services:,Medical Services:,Surgical Services:,Obsterics and Gynecology Services:,Pediatrics Services:,Dental Services:,Specific Clinical Services:,Total number of Beds:,Onsite Laboratory:,Onsite Imaging:,Onsite Pharmacy:,Mortuary Services:,Ambulance Services:,Number of Doctors:,Number of Pharmacists:,Number Pharmacy Technicians:,Number of Dentists:,Number of Dental Technicians:,Number of Nurses:,Number of Midwifes:,Number of Nurses/Midwifes:,Number of Lab Technicians:,Number of Lab Scientits:,Health Records/HIM Officers:,Number of Community Health Officer:,Number of Community Health Extension Worker:,Number of Junior Com Health Extension Worker:,Number of Environmental Health Officers:,Number of Health Attendant/Assistant:
51951895,24/01/1/1/2/0003,24011020002,,Adu Medical Clinic,,1987-12-01,Private,For Profit,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24HRS,Lagos,Agege,Atobaje,"NO 23,AGUNBIADE STREET OKE KOTO AGEGE",,3.31993,6.62493,0802-774-4780,,allibaba79@yahoo.com,,Operational,Registered,Licensed,Yes,Yes,,,,,,,5,Yes,,Yes,,Yes,1,,,,,,1,,,,,,2,,,4
30605129,24/01/1/1/2/0003,24011020002,,Adu Medical Clinic,,1987-12-01,Private,For Profit,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24HRS,Lagos,Agege,Atobaje,"NO 23,AGUNBIADE STREET OKE KOTO AGEGE",,3.31993,6.62493,0802-774-4780,,allibaba79@yahoo.com,,Operational,Registered,Licensed,Yes,Yes,,,,,,Antenatal Care (ANC) Immunization HIV/ AIDS Services Tuberculosis Non Communicable Diseases Family Planning Intensive Care Services  Communicable Diseases Hepatitis Child Survival Accidents and Emergency Nutrition Health Education and Community Mobilization Maternal and newborn care ,5,Yes,,Yes,,Yes,1,,,,,,1,,,,,,2,,,4
30710800,24/01/1/1/1/0068,2401120078,,May-Fair Medical Centre,,1989-09-03,Private,For Profit,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24HRS,Lagos,Agege,Awori,NO30/32 ADENLE ST AWORI ONIWAYA AGEGE,,3.31878,6.62287,0802-330-6711,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,,15,Yes,Yes,Yes,No,Yes,2,1,,1,1,,2,,2,1,1,1,,,,3
21456488,24/01/1/1/1/0068,2401120078,,May-Fair Medical Centre,,1989-09-03,Private,For Profit,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24HRS,Lagos,Agege,Awori,NO30/32 ADENLE ST AWORI ONIWAYA AGEGE,,3.31878,6.62287,0802-330-6711,,,,Operational,Registered,Licensed,Yes,Yes,Family Medicine ,Ophthalmology General Surgery ,Obstetrics Gynecology ,,,Antenatal Care (ANC) Immunization HIV/ AIDS Services Tuberculosis Non Communicable Diseases Family Planning Intensive Care Services  Communicable Diseases Hepatitis Child Survival Accidents and Emergency Nutrition ,15,Yes,Yes,Yes,No,Yes,2,1,,1,1,,2,,2,1,1,1,,,,3
72877733,24/01/1/2/2/0024,2401110025,,Dopemu Primary Health Centre,,2003-08-03,Public,Local Government,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday",18HRS,Lagos,Agege,Dopemu,"NO6,AIYEGBEMI STREET",,3.31394,6.61193,0802-309-0754,,,,Operational,Registered,Licensed,Yes,,,,,,,,8,Yes,,Yes,,No,,,1,,,,,1,1,,,1,,,,3
81233574,24/01/1/2/2/0024,2401110025,,Dopemu Primary Health Centre,,2003-08-03,Public,Local Government,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday",18HRS,Lagos,Agege,Dopemu,"NO6,AIYEGBEMI STREET",,3.31394,6.61193,0802-309-0754,,,,Operational,Registered,Licensed,Yes,,,,,,,Antenatal Care (ANC) Immunization HIV/ AIDS Services Tuberculosis Non Communicable Diseases Family Planning Communicable Diseases Hepatitis Child Survival Nutrition Health Education and Community Mobilization Maternal and newborn care ,8,Yes,,Yes,,No,,,1,,,,,1,1,,,1,,,,3
86530408,24/01/1/2/2/0008,2401120080,,Hamfar Hospital,,1991-02-03,Private,For Profit,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24HRS,Lagos,Agege,Dopemu,"NO3,DOPEMU ROAD OPP SWPHA PHARM ROUNDABOUT LAGOST",,3.31067,6.61014,0703-760-7624,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,,6,Yes,,Yes,,Yes,3,,,,,1,,1,,,,1,,,,
38579933,24/01/1/2/2/0008,2401120080,,Hamfar Hospital,,1991-02-03,Private,For Profit,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24HRS,Lagos,Agege,Dopemu,"NO3,DOPEMU ROAD OPP SWPHA PHARM ROUNDABOUT LAGOST",,3.31067,6.61014,0703-760-7624,,,,Operational,Registered,Licensed,Yes,Yes,Family Medicine ,General Surgery ,Obstetrics ,,,Antenatal Care (ANC) Immunization HIV/ AIDS Services Tuberculosis Non Communicable Diseases Family Planning Intensive Care Services  Communicable Diseases Hepatitis Child Survival Accidents and Emergency Nutrition Health Education and Community Mobilization Maternal and newborn care ,6,Yes,,Yes,,Yes,3,,,,,1,,1,,,,1,,,,
80710017,24/01/1/2/2/0004,2401120081,,Krisopath Hospital,,2017-01-01,Private,For Profit,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24HRS,Lagos,Agege,Dopemu,"NO 64, SURULERE STREET ,DOPEMU AGEGE",,3.31236,6.61194,0703-037-0167,,,,Operational,Registered,Licensed,Yes,Yes,,,,,,,6,Yes,,Yes,,No,1,,,,,2,,,,,,,,,,4
63533294,24/01/1/2/2/0004,2401120081,,Krisopath Hospital,,2017-01-01,Private,For Profit,Primary,Primary Health Clinic,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",24HRS,Lagos,Agege,Dopemu,"NO 64, SURULERE STREET ,DOPEMU AGEGE",,3.31236,6.61194,0703-037-0167,,,,Operational,Registered,Licensed,Yes,Yes,Family Medicine ,General Surgery ,,,,Antenatal Care (ANC) HIV/ AIDS Services Tuberculosis Non Communicable Diseases Family Planning Hepatitis ,6,Yes,,Yes,,No,1,,,,,2,,,,,,,,,,4
